station,year,Season,Mean,Median,Std Dev,Max,Min,Number of Datapoints
CM40,2007,Fall,7.351516712454212,7.43,1.3607503739697204,10.73,4.55,8736
CM40,2007,Summer,5.025315968289921,5.09,0.6294846009944794,6.71,1.66,8831
CM40,2008,Fall,7.142767343021662,7.09,0.8849624573541689,10.35,2.44,14588
CM40,2008,Summer,6.148202607239094,6.14,0.4932324700464634,8.42,2.18,13731
CM40,2009,Fall,7.515781697400069,7.61,1.266978933290331,10.13,3.58,8731
CM40,2009,Summer,6.085487487260786,6.04,0.36022971096539474,7.41,3.94,8832
CM40,2010,Fall,7.4136950565812985,7.07,0.9762823400282955,9.59,5.49,8396
CM40,2010,Summer,6.384104255594361,6.32,0.6493904268744447,8.64,4.7,7731
CM42,2007,Fall,7.2472572148419605,7.31,1.3709082373711565,11.03,3.76,8732
CM42,2007,Summer,5.0247009515178975,5.03,0.6899132884564234,7,2.56,8829
CM42,2008,Fall,7.409314156254291,7.41,1.0392814613715613,11.42,4.62,14566
CM42,2008,Summer,6.334287795992714,6.22,0.6909834717307125,9.08,3.76,13725
CM42,2009,Fall,7.490313968144838,7.69,1.2695531770189454,10.54,4.77,8727
CM42,2009,Summer,5.864041080344984,5.84,0.2839911643018751,7.38,4.84,8812
CM42,2010,Fall,7.399616309701065,7.15,0.917675759147831,10.16,4.54,8734
CM42,2010,Summer,6.477007704509404,6.37,0.7001046035543385,8.51,3.99,8826
CM42_RRI,2007,Fall,7.330521901211556,7.2,1.6038576478390343,14.8,4.5,2184
CM42_RRI,2007,Summer,4.59551897576589,4.5,1.4024315712248558,15,1.7,2208
CM42_RRI,2008,Fall,7.310801237964236,7.2,1.1220122898214773,10.8,2.7,8739
CM42_RRI,2008,Summer,6.376823703030991,6.12,0.9684489813716869,10.56,4.54,8832
CM42_RRI,2009,Fall,7.72834421161113,7.96,1.2693663613706192,11.52,5.02,8736
CM42_RRI,2009,Summer,5.702970431630225,5.57,0.49807573469256533,9.16,4.8,8832
CM42_RRI,2010,Fall,6.9637424155695475,6.85,0.8783736924197146,9.14,4.91,8736
CM42_RRI,2010,Summer,6.367319062181448,6.32,0.9273604840618184,9.74,4.3,8832
CM43,2007,Fall,7.185498474059003,7.29,1.4729225437513058,10.17,4.17,3932
CM43,2007,Summer,5.164873532615273,5.07,0.8105665676523335,8.23,2.3,8265
CM43,2008,Fall,7.30186978422675,7.32,1.1167448264502955,11.61,4.2,13301
CM43,2008,Summer,6.35009345078514,6.36,0.8019806417529324,9.96,3.58,13055
CM43,2009,Fall,7.482736130215497,7.74,1.1884526371803859,10.1,4.48,8727
CM43,2009,Summer,5.698234626730202,5.69,0.3998820504062932,7.13,3.88,8814
CM43,2010,Fall,7.117760404420409,6.92,0.8615499912959003,9.55,5.27,8506
CM43,2010,Summer,6.153423711472056,5.91,1.0144775390881726,8.66,2.99,7819
CM48,2007,Fall,7.849763022323984,7.98,1.378945205480604,11.65,1.53,8736
CM48,2007,Summer,5.701765015806112,5.55,1.2616412136868613,10.71,1.72,7592
CM48,2008,Fall,7.207127688724483,6.96,1.227014584945407,13.19,2.4,14598
CM48,2008,Summer,5.501412449945395,5.61,0.9084690039589624,8.48,0.82,13735
CM48,2009,Fall,7.9329086048879836,8.3,1.2625260785795016,10.23,2.56,8436
CM48,2009,Summer,5.504890725852112,5.48,0.6420932350413738,9.57,2.1,8832
CM48,2010,Fall,7.459023580586081,7.325,0.8984359093058394,9.72,4.52,8736
CM48,2010,Summer,6.443009118541034,6.52,1.1587070382649738,9.05,1.37,11515
